Movie,Category,Score
The Big Short,Best Picture,88
Bridge of Spies,Best Picture,91
Brooklyn,Best Picture,98
Mad Max: Fury Road,Best Picture,97
The Martian,Best Picture,93
The Revenant,Best Picture,82
Room,Best Picture,96
Spotlight,Best Picture,96
Trumbo,Actor in a Leading Role,70
The Martian,Actor in a Leading Role,93
The Revenant,Actor in a Leading Role,82
Steve Jobs,Actor in a Leading Role,85
The Danish Girl,Actor in a Leading Role,70
Carol,Actress in a Leading Role,93
Room,Actress in a Leading Role,96
Joy,Actress in a Leading Role,60
45 Years,Actress in a Leading Role,96
Brooklyn,Actress in a Leading Role,98
The Big Short,Actor in a Supporting Role,88
The Revenant,Actor in a Supporting Role,82
Spotlight,Actor in a Supporting Role,96
Bridge of Spies,Actor in a Supporting Role,91
Creed,Actor in a Supporting Role,94
The Hateful Eight,Actress in a Supporting Role,75
Carol,Actress in a Supporting Role,93
Spotlight,Actress in a Supporting Role,96
The Danish Girl,Actress in a Supporting Role,70
Steve Jobs,Actress in a Supporting Role,85
Anomalisa,Animated Feature Film,92
Boy and the World,Animated Feature Film,93
Inside Out,Animated Feature Film,98
Shaun the Sheep Movie,Animated Feature Film,99
When Marnie Was There,Animated Feature Film,89
Carol,Cinematography,93
The Hateful Eight,Cinematography,75
Mad Max: Fury Road,Cinematography,97
The Revenant,Cinematography,82
Sicario,Cinematography,93
Carol,Costume Design,93
Cinderella,Costume Design,84
The Danish Girl,Costume Design,70
Mad Max: Fury Road,Costume Design,97
The Revenant,Costume Design,82
The Big Short,Directing,88
Mad Max: Fury Road,Directing,97
The Revenant,Directing,82
Room,Directing,96
Spotlight,Directing,96
Amy,Documentary (Feature),96
Cartel Land,Documentary (Feature),90
The Look of Silence,Documentary (Feature),96
"What Happened, Miss Simone?",Documentary (Feature),83
Winter on Fire: Ukraine's Fight for Freedom,Documentary (Feature),95
Body Team 12,Documentary (Short Subject),
"Chau, beyond the Lines",Documentary (Short Subject),
Claude Lanzmann: Spectres of the Shoah,Documentary (Short Subject),
A Girl in the River: The Price of Forgiveness,Documentary (Short Subject),
Last Day of Freedom,Documentary (Short Subject),
The Big Short,Film Editing,88
Mad Max: Fury Road,Film Editing,97
The Revenant,Film Editing,82
Spotlight,Film Editing,96
Star Wars: The Force Awakens,Film Editing,93
Embrace of the Serpent,Foreign Language Film,100
Mustang,Foreign Language Film,97
Son of Saul,Foreign Language Film,93
Theeb,Foreign Language Film,96
A War,Foreign Language Film,93
Mad Max: Fury Road,Makeup and Hairstyling,97
The 100-Year-Old Man Who Climbed out the Window and Disappeared,Makeup and Hairstyling,67
The Revenant,Makeup and Hairstyling,82
Bridge of Spies,Original Score,91
Carol,Original Score,93
The Hateful Eight,Original Score,75
Sicario,Original Score,93
Star Wars: The Force Awakens,Original Score,93
Fifty Shades of Grey,Original Song,25
Racing Extinction,Original Song,77
Youth,Original Song,74
The Hunting Ground,Original Song,93
Spectre ,Original Song,64
Bridge of Spies,Production Design,91
The Danish Girl,Production Design,70
Mad Max: Fury Road,Production Design,97
The Martian,Production Design,93
The Revenant,Production Design,82
Bear Story,Short Film (Animated),
Prologue,Short Film (Animated),
Sanjay's Super Team,Short Film (Animated),
We Can't Live without Cosmos ,Short Film (Animated),
World of Tomorrow,Short Film (Animated),
Ave Maria,Short Film (Live Action),
Day One,Short Film (Live Action),
Everything Will Be Okay (Alles Wird Gut),Short Film (Live Action),
Shok,Short Film (Live Action),
Stutterer,Short Film (Live Action),
Mad Max: Fury Road,Sound Editing,97
The Martian,Sound Editing,93
The Revenant,Sound Editing,82
Sicario,Sound Editing,93
Star Wars: The Force Awakens,Sound Editing,93
Bridge of Spies,Sound Mixing,91
Mad Max: Fury Road,Sound Mixing,97
The Martian,Sound Mixing,93
The Revenant,Sound Mixing,82
Star Wars: The Force Awakens,Sound Mixing,93
Ex Machina,Visual Effects,92
Mad Max: Fury Road,Visual Effects,97
The Martian,Visual Effects,93
The Revenant,Visual Effects,82
Star Wars: The Force Awakens,Visual Effects,93
The Big Short,Writing (Adapted Screenplay),88
Brooklyn,Writing (Adapted Screenplay),98
Carol,Writing (Adapted Screenplay),93
The Martian,Writing (Adapted Screenplay),93
Room,Writing (Adapted Screenplay),96
Bridge of Spies,Writing (Original Screenplay),91
Ex Machina,Writing (Original Screenplay),92
Inside Out,Writing (Original Screenplay),98
Spotlight,Writing (Original Screenplay),96
Straight Outta Compton,Writing (Original Screenplay),88
